====================================================================================================
run_start_time: 2026-05-06 03:23:39
script: run_nerf_mofasgd.py
expname: fern_100k_mflr3e-3
dataset_type: llff
datadir: ./data/nerf_llff_data/fern
resume_start_step: 0
optimizer_setup:
  optimizer_main: MoFaSGD
  mofa_lr_init: 0.003
  mofa_rank: 64
  mofa_beta: 0.95
  mofa_weight_decay: 0.0
  mofa_eta1: 1.0
  mofa_eta2: 0.0
  mofa_eps: 0.0001
  mofa_use_reciprocal_s: False
  mofa_use_current_projection: False
  mofa_nesterov: False
  optimizer_aux: Adam
  aux_adam_lr_init: 0.0005
  aux_adam_betas: (0.9, 0.999)
  lrate_decay_ksteps: 250
  mofa_tensor_count: 20
  adam_tensor_count: 28
  mofa_total_params: 1185536
  adam_total_params: 6152
train_psnr_log:
iter=100 global_step=99 loss=0.0905700773 psnr=13.444870 mofa_lr=2.99726578e-03 adam_lr=4.99544296e-04
iter=200 global_step=199 loss=0.0610249266 psnr=15.187668 mofa_lr=2.99450646e-03 adam_lr=4.99084410e-04
iter=300 global_step=299 loss=0.0470188670 psnr=16.372349 mofa_lr=2.99174969e-03 adam_lr=4.98624948e-04
iter=400 global_step=399 loss=0.0347805806 psnr=17.660843 mofa_lr=2.98899546e-03 adam_lr=4.98165909e-04
iter=500 global_step=499 loss=0.0299429372 psnr=18.278065 mofa_lr=2.98624376e-03 adam_lr=4.97707293e-04
iter=600 global_step=599 loss=0.0270761475 psnr=18.645363 mofa_lr=2.98349459e-03 adam_lr=4.97249098e-04
iter=700 global_step=699 loss=0.0266107526 psnr=18.788408 mofa_lr=2.98074796e-03 adam_lr=4.96791326e-04
iter=800 global_step=799 loss=0.0199251063 psnr=20.072023 mofa_lr=2.97800385e-03 adam_lr=4.96333975e-04
iter=900 global_step=899 loss=0.0195891559 psnr=20.082455 mofa_lr=2.97526227e-03 adam_lr=4.95877045e-04
iter=1000 global_step=999 loss=0.0199336298 psnr=19.975882 mofa_lr=2.97252321e-03 adam_lr=4.95420535e-04
iter=1100 global_step=1099 loss=0.0171126742 psnr=20.722046 mofa_lr=2.96978668e-03 adam_lr=4.94964446e-04
iter=1200 global_step=1199 loss=0.0170585308 psnr=20.719530 mofa_lr=2.96705266e-03 adam_lr=4.94508777e-04
iter=1300 global_step=1299 loss=0.0161958244 psnr=21.042780 mofa_lr=2.96432116e-03 adam_lr=4.94053527e-04
iter=1400 global_step=1399 loss=0.0172620770 psnr=20.730129 mofa_lr=2.96159218e-03 adam_lr=4.93598697e-04
iter=1500 global_step=1499 loss=0.0156071093 psnr=21.049919 mofa_lr=2.95886571e-03 adam_lr=4.93144285e-04
iter=1600 global_step=1599 loss=0.0173074491 psnr=20.612122 mofa_lr=2.95614175e-03 adam_lr=4.92690291e-04
iter=1700 global_step=1699 loss=0.0157672632 psnr=21.114792 mofa_lr=2.95342029e-03 adam_lr=4.92236716e-04
iter=1800 global_step=1799 loss=0.0157294776 psnr=21.097805 mofa_lr=2.95070135e-03 adam_lr=4.91783558e-04
iter=1900 global_step=1899 loss=0.0143711232 psnr=21.488419 mofa_lr=2.94798490e-03 adam_lr=4.91330817e-04
iter=2000 global_step=1999 loss=0.0138967372 psnr=21.620621 mofa_lr=2.94527096e-03 adam_lr=4.90878493e-04
iter=2100 global_step=2099 loss=0.0112450849 psnr=22.586823 mofa_lr=2.94255951e-03 adam_lr=4.90426585e-04
iter=2200 global_step=2199 loss=0.0142869093 psnr=21.418722 mofa_lr=2.93985056e-03 adam_lr=4.89975093e-04
iter=2300 global_step=2299 loss=0.0137299318 psnr=21.753473 mofa_lr=2.93714410e-03 adam_lr=4.89524017e-04
iter=2400 global_step=2399 loss=0.0134630594 psnr=21.803288 mofa_lr=2.93444014e-03 adam_lr=4.89073357e-04
iter=2500 global_step=2499 loss=0.0126382960 psnr=21.949625 mofa_lr=2.93173867e-03 adam_lr=4.88623111e-04
iter=2600 global_step=2599 loss=0.0128396777 psnr=21.869741 mofa_lr=2.92903968e-03 adam_lr=4.88173280e-04
iter=2700 global_step=2699 loss=0.0141766332 psnr=21.644051 mofa_lr=2.92634317e-03 adam_lr=4.87723862e-04
iter=2800 global_step=2799 loss=0.0123560531 psnr=22.246059 mofa_lr=2.92364915e-03 adam_lr=4.87274859e-04
iter=2900 global_step=2899 loss=0.0113997012 psnr=22.453814 mofa_lr=2.92095761e-03 adam_lr=4.86826269e-04
iter=3000 global_step=2999 loss=0.0146203693 psnr=21.466623 mofa_lr=2.91826855e-03 adam_lr=4.86378092e-04
iter=3100 global_step=3099 loss=0.0116660949 psnr=22.396008 mofa_lr=2.91558196e-03 adam_lr=4.85930327e-04
iter=3200 global_step=3199 loss=0.0136911431 psnr=21.682362 mofa_lr=2.91289785e-03 adam_lr=4.85482975e-04
iter=3300 global_step=3299 loss=0.0126336422 psnr=22.069466 mofa_lr=2.91021621e-03 adam_lr=4.85036034e-04
iter=3400 global_step=3399 loss=0.0127030499 psnr=22.187140 mofa_lr=2.90753703e-03 adam_lr=4.84589505e-04
iter=3500 global_step=3499 loss=0.0109621864 psnr=22.619301 mofa_lr=2.90486032e-03 adam_lr=4.84143387e-04
iter=3600 global_step=3599 loss=0.0122955572 psnr=22.382404 mofa_lr=2.90218608e-03 adam_lr=4.83697680e-04
iter=3700 global_step=3699 loss=0.0116018876 psnr=22.391376 mofa_lr=2.89951430e-03 adam_lr=4.83252383e-04
iter=3800 global_step=3799 loss=0.0119284913 psnr=22.505039 mofa_lr=2.89684498e-03 adam_lr=4.82807496e-04
iter=3900 global_step=3899 loss=0.0116352560 psnr=22.719322 mofa_lr=2.89417811e-03 adam_lr=4.82363019e-04
iter=4000 global_step=3999 loss=0.0106033590 psnr=22.680000 mofa_lr=2.89151370e-03 adam_lr=4.81918950e-04
iter=4100 global_step=4099 loss=0.0115822311 psnr=22.434795 mofa_lr=2.88885175e-03 adam_lr=4.81475291e-04
iter=4200 global_step=4199 loss=0.0136097427 psnr=21.788460 mofa_lr=2.88619224e-03 adam_lr=4.81032040e-04
iter=4300 global_step=4299 loss=0.0096444339 psnr=23.157303 mofa_lr=2.88353518e-03 adam_lr=4.80589197e-04
iter=4400 global_step=4399 loss=0.0121782180 psnr=22.269402 mofa_lr=2.88088057e-03 adam_lr=4.80146762e-04
iter=4500 global_step=4499 loss=0.0116013624 psnr=22.431519 mofa_lr=2.87822840e-03 adam_lr=4.79704734e-04
iter=4600 global_step=4599 loss=0.0109145204 psnr=22.764826 mofa_lr=2.87557868e-03 adam_lr=4.79263113e-04
iter=4700 global_step=4699 loss=0.0109549668 psnr=22.659590 mofa_lr=2.87293139e-03 adam_lr=4.78821899e-04
iter=4800 global_step=4799 loss=0.0105128419 psnr=23.003508 mofa_lr=2.87028654e-03 adam_lr=4.78381090e-04
iter=4900 global_step=4899 loss=0.0112499949 psnr=22.632988 mofa_lr=2.86764413e-03 adam_lr=4.77940688e-04
iter=5000 global_step=4999 loss=0.0105651701 psnr=22.830967 mofa_lr=2.86500415e-03 adam_lr=4.77500691e-04
iter=5100 global_step=5099 loss=0.0114535615 psnr=22.487402 mofa_lr=2.86236659e-03 adam_lr=4.77061099e-04
iter=5200 global_step=5199 loss=0.0105090626 psnr=23.117842 mofa_lr=2.85973147e-03 adam_lr=4.76621912e-04
iter=5300 global_step=5299 loss=0.0095942039 psnr=23.305771 mofa_lr=2.85709877e-03 adam_lr=4.76183129e-04
iter=5400 global_step=5399 loss=0.0105414484 psnr=22.853598 mofa_lr=2.85446850e-03 adam_lr=4.75744750e-04
iter=5500 global_step=5499 loss=0.0101361386 psnr=22.979366 mofa_lr=2.85184065e-03 adam_lr=4.75306775e-04
iter=5600 global_step=5599 loss=0.0099648312 psnr=23.289375 mofa_lr=2.84921521e-03 adam_lr=4.74869202e-04
iter=5700 global_step=5699 loss=0.0104136709 psnr=22.981056 mofa_lr=2.84659220e-03 adam_lr=4.74432033e-04
iter=5800 global_step=5799 loss=0.0104459608 psnr=22.995049 mofa_lr=2.84397160e-03 adam_lr=4.73995266e-04
iter=5900 global_step=5899 loss=0.0113910753 psnr=22.427265 mofa_lr=2.84135341e-03 adam_lr=4.73558901e-04
iter=6000 global_step=5999 loss=0.0114727914 psnr=22.601215 mofa_lr=2.83873763e-03 adam_lr=4.73122938e-04
